Company,Amount,Type,Country,Government
Statoil,2.9875,Bonus,West Virginia,West Virginia Department of Commerce
Statoil,0.175,Fees,West Virginia,West Virginia Department of Environmental Protection
Total,0.125,Royalties,Texas,Arlington Independent School District
Total,4.6,Fees,Federal,Bureau of Ocean Energy Management
Total,3.6,Bonus,Federal,Bureau of Ocean Energy Management
Total,0.215,Royalties,Texas,Burleson Independent School District
Total,0.574,Taxes,Ohio,Carroll County
Total,0.423,Royalties,Texas,City of Arlington
Total,1.722,Royalties,Texas,City of Fort Worth
Total,0.149,Royalties,Texas,City of North Richland Hills
Total,0.655,Royalties,Texas,Dallas/Fort Worth International Airport Board
Total,0.125,Royalties,Texas,Fort Worth Independent School District
Total,0.14,Taxes,Ohio,Harrison County
Total,1.165,Taxes,Texas,Johnson County Tax Assessor
Total,20.037,Royalties,Federal,Office of Natural Resources Revenue
Total,3.356,Taxes,Ohio,State of Ohio
Total,0.261,Royalties,Texas,State of Texas
Total,3.003,Taxes,Texas,Tarrant County Tax Assessor
Total,0.414,Royalties,Texas,Tarrant Regional Water District
Total,1.709,Taxes,Texas,Texas State Comptroller’s Office
